_id,year,patcnty,agegrp,count
1163,2013,Tulare,Teen Mothers (15 years old to 19 years old),824
1164,2013,Tulare,Typical Aged Mothers (20 years old to 34 years old),5794
1165,2013,Ventura,Total Births,10178
1166,2013,Ventura,Older Mothers (35 years old or older),1943
1167,2013,Ventura,Teen Mothers (15 years old to 19 years old),655
1168,2013,Ventura,Typical Aged Mothers (20 years old to 34 years old),7575
1169,2013,Yolo,Total Births,2417
1170,2013,Yolo,Older Mothers (35 years old or older),466
1171,2013,Yolo,Teen Mothers (15 years old to 19 years old),117
1172,2013,Yolo,Typical Aged Mothers (20 years old to 34 years old),1833
1173,2013,Yuba,Total Births,1155
1174,2013,Yuba,Older Mothers (35 years old or older),115
1175,2013,Yuba,Teen Mothers (15 years old to 19 years old),78
1176,2013,Yuba,Typical Aged Mothers (20 years old to 34 years old),962
1177,2014,Alameda,Total Births,19005
1178,2014,Alameda,Older Mothers (35 years old or older),4942
1179,2014,Alameda,Teen Mothers (15 years old to 19 years old),570
1180,2014,Alameda,Typical Aged Mothers (20 years old to 34 years old),13490
1181,2014,Butte,Total Births,2392
1182,2014,Butte,Older Mothers (35 years old or older),270
1183,2014,Butte,Teen Mothers (15 years old to 19 years old),152
1184,2014,Butte,Typical Aged Mothers (20 years old to 34 years old),1966
1185,2014,Calaveras,Total Births,335
1186,2014,Calaveras,Older Mothers (35 years old or older),38
1187,2014,Calaveras,Teen Mothers (15 years old to 19 years old),15
1188,2014,Calaveras,Typical Aged Mothers (20 years old to 34 years old),282
1189,2014,Colusa,Total Births,286
1190,2014,Colusa,Older Mothers (35 years old or older),35
1191,2014,Colusa,Teen Mothers (15 years old to 19 years old),24
1192,2014,Colusa,Typical Aged Mothers (20 years old to 34 years old),226
1193,2014,Contra Costa,Total Births,12144
1194,2014,Contra Costa,Older Mothers (35 years old or older),2973
1195,2014,Contra Costa,Teen Mothers (15 years old to 19 years old),421
1196,2014,Contra Costa,Typical Aged Mothers (20 years old to 34 years old),8744
1197,2014,Del Norte,Total Births,298
1198,2014,Del Norte,Older Mothers (35 years old or older),29
1199,2014,Del Norte,Teen Mothers (15 years old to 19 years old),31
1200,2014,Del Norte,Typical Aged Mothers (20 years old to 34 years old),238
1201,2014,El Dorado,Total Births,1518
1202,2014,El Dorado,Older Mothers (35 years old or older),285
1203,2014,El Dorado,Teen Mothers (15 years old to 19 years old),64
1204,2014,El Dorado,Typical Aged Mothers (20 years old to 34 years old),1169
1205,2014,Fresno,Total Births,15522
1206,2014,Fresno,Older Mothers (35 years old or older),2052
1207,2014,Fresno,Teen Mothers (15 years old to 19 years old),1283
1208,2014,Fresno,Typical Aged Mothers (20 years old to 34 years old),12178
1209,2014,Glenn,Total Births,404
1210,2014,Glenn,Older Mothers (35 years old or older),50
1211,2014,Glenn,Teen Mothers (15 years old to 19 years old),25
1212,2014,Glenn,Typical Aged Mothers (20 years old to 34 years old),329
1213,2014,Humboldt,Total Births,1378
1214,2014,Humboldt,Older Mothers (35 years old or older),213
1215,2014,Humboldt,Teen Mothers (15 years old to 19 years old),81
1216,2014,Humboldt,Typical Aged Mothers (20 years old to 34 years old),1084
1217,2014,Imperial,Total Births,2882
1218,2014,Imperial,Older Mothers (35 years old or older),325
1219,2014,Imperial,Teen Mothers (15 years old to 19 years old),275
1220,2014,Imperial,Typical Aged Mothers (20 years old to 34 years old),2280
1221,2014,Inyo,Total Births,216
1222,2014,Inyo,Older Mothers (35 years old or older),37
1223,2014,Inyo,Teen Mothers (15 years old to 19 years old),18
1224,2014,Inyo,Typical Aged Mothers (20 years old to 34 years old),161
1225,2014,Kern,Total Births,13904
1226,2014,Kern,Older Mothers (35 years old or older),1588
1227,2014,Kern,Teen Mothers (15 years old to 19 years old),1362
1228,2014,Kern,Typical Aged Mothers (20 years old to 34 years old),10936
1229,2014,Kings,Total Births,2128
1230,2014,Kings,Older Mothers (35 years old or older),232
1231,2014,Kings,Teen Mothers (15 years old to 19 years old),177
1232,2014,Kings,Typical Aged Mothers (20 years old to 34 years old),1716
1233,2014,Lake,Total Births,677
1234,2014,Lake,Older Mothers (35 years old or older),76
1235,2014,Lake,Teen Mothers (15 years old to 19 years old),65
1236,2014,Lake,Typical Aged Mothers (20 years old to 34 years old),536
1237,2014,Lassen,Total Births,265
1238,2014,Lassen,Older Mothers (35 years old or older),28
1239,2014,Lassen,Teen Mothers (15 years old to 19 years old),15
1240,2014,Lassen,Typical Aged Mothers (20 years old to 34 years old),222
1241,2014,Los Angeles,Total Births,127150
1242,2014,Los Angeles,Older Mothers (35 years old or older),28611
1243,2014,Los Angeles,Teen Mothers (15 years old to 19 years old),6917
1244,2014,Los Angeles,Typical Aged Mothers (20 years old to 34 years old),91560
1245,2014,Madera,Total Births,2253
1246,2014,Madera,Older Mothers (35 years old or older),294
1247,2014,Madera,Teen Mothers (15 years old to 19 years old),241
1248,2014,Madera,Typical Aged Mothers (20 years old to 34 years old),1717
1249,2014,Marin,Total Births,2302
1250,2014,Marin,Older Mothers (35 years old or older),931
1251,2014,Marin,Teen Mothers (15 years old to 19 years old),56
1252,2014,Marin,Typical Aged Mothers (20 years old to 34 years old),1313
1253,2014,Mendocino,Total Births,970
1254,2014,Mendocino,Older Mothers (35 years old or older),148
1255,2014,Mendocino,Teen Mothers (15 years old to 19 years old),75
1256,2014,Mendocino,Typical Aged Mothers (20 years old to 34 years old),747
1257,2014,Merced,Total Births,3454
1258,2014,Merced,Older Mothers (35 years old or older),459
1259,2014,Merced,Teen Mothers (15 years old to 19 years old),310
1260,2014,Merced,Typical Aged Mothers (20 years old to 34 years old),2682
1261,2014,Monterey,Total Births,6178
1262,2014,Monterey,Older Mothers (35 years old or older),978
1263,2014,Monterey,Teen Mothers (15 years old to 19 years old),453
1264,2014,Monterey,Typical Aged Mothers (20 years old to 34 years old),4743
1265,2014,Napa,Total Births,1451
1266,2014,Napa,Older Mothers (35 years old or older),309
1267,2014,Napa,Teen Mothers (15 years old to 19 years old),61
1268,2014,Napa,Typical Aged Mothers (20 years old to 34 years old),1080
1269,2014,Nevada,Total Births,671
1270,2014,Nevada,Older Mothers (35 years old or older),129
1271,2014,Nevada,Teen Mothers (15 years old to 19 years old),29
1272,2014,Nevada,Typical Aged Mothers (20 years old to 34 years old),512
1273,2014,Orange,Total Births,37539
1274,2014,Orange,Older Mothers (35 years old or older),9009
1275,2014,Orange,Teen Mothers (15 years old to 19 years old),1546
1276,2014,Orange,Typical Aged Mothers (20 years old to 34 years old),26973
1277,2014,Placer,Total Births,3463
1278,2014,Placer,Older Mothers (35 years old or older),780
1279,2014,Placer,Teen Mothers (15 years old to 19 years old),81
1280,2014,Placer,Typical Aged Mothers (20 years old to 34 years old),2600
1281,2014,Riverside,Total Births,29496
1282,2014,Riverside,Older Mothers (35 years old or older),4497
1283,2014,Riverside,Teen Mothers (15 years old to 19 years old),1888
1284,2014,Riverside,Typical Aged Mothers (20 years old to 34 years old),23098
1285,2014,Sacramento,Total Births,18924
1286,2014,Sacramento,Older Mothers (35 years old or older),3165
1287,2014,Sacramento,Teen Mothers (15 years old to 19 years old),943
1288,2014,Sacramento,Typical Aged Mothers (20 years old to 34 years old),14805
1289,2014,San Benito,Total Births,674
1290,2014,San Benito,Older Mothers (35 years old or older),115
1291,2014,San Benito,Teen Mothers (15 years old to 19 years old),48
1292,2014,San Benito,Typical Aged Mothers (20 years old to 34 years old),511
1293,2014,San Bernardino,Total Births,29599
1294,2014,San Bernardino,Older Mothers (35 years old or older),4230
1295,2014,San Bernardino,Teen Mothers (15 years old to 19 years old),2190
1296,2014,San Bernardino,Typical Aged Mothers (20 years old to 34 years old),23167
1297,2014,San Diego,Total Births,38323
1298,2014,San Diego,Older Mothers (35 years old or older),7916
1299,2014,San Diego,Teen Mothers (15 years old to 19 years old),1769
1300,2014,San Diego,Typical Aged Mothers (20 years old to 34 years old),28621
1301,2014,San Francisco,Total Births,8816
1302,2014,San Francisco,Older Mothers (35 years old or older),3261
1303,2014,San Francisco,Teen Mothers (15 years old to 19 years old),148
1304,2014,San Francisco,Typical Aged Mothers (20 years old to 34 years old),5404
1305,2014,San Joaquin,Total Births,9885
1306,2014,San Joaquin,Older Mothers (35 years old or older),1468
1307,2014,San Joaquin,Teen Mothers (15 years old to 19 years old),667
1308,2014,San Joaquin,Typical Aged Mothers (20 years old to 34 years old),7748
1309,2014,San Luis Obispo,Total Births,2501
1310,2014,San Luis Obispo,Older Mothers (35 years old or older),450
1311,2014,San Luis Obispo,Teen Mothers (15 years old to 19 years old),132
1312,2014,San Luis Obispo,Typical Aged Mothers (20 years old to 34 years old),1919
1313,2014,San Mateo,Total Births,8324
1314,2014,San Mateo,Older Mothers (35 years old or older),2652
1315,2014,San Mateo,Teen Mothers (15 years old to 19 years old),175
1316,2014,San Mateo,Typical Aged Mothers (20 years old to 34 years old),5496
1317,2014,Santa Barbara,Total Births,5646
1318,2014,Santa Barbara,Older Mothers (35 years old or older),944
1319,2014,Santa Barbara,Teen Mothers (15 years old to 19 years old),391
1320,2014,Santa Barbara,Typical Aged Mothers (20 years old to 34 years old),4308
1321,2014,Santa Clara,Total Births,23683
1322,2014,Santa Clara,Older Mothers (35 years old or older),6218
1323,2014,Santa Clara,Teen Mothers (15 years old to 19 years old),741
1324,2014,Santa Clara,Typical Aged Mothers (20 years old to 34 years old),16718
1325,2014,Santa Cruz,Total Births,3128
1326,2014,Santa Cruz,Older Mothers (35 years old or older),723
1327,2014,Santa Cruz,Teen Mothers (15 years old to 19 years old),179
1328,2014,Santa Cruz,Typical Aged Mothers (20 years old to 34 years old),2224
1329,2014,Shasta,Total Births,2012
1330,2014,Shasta,Older Mothers (35 years old or older),225
1331,2014,Shasta,Teen Mothers (15 years old to 19 years old),129
1332,2014,Shasta,Typical Aged Mothers (20 years old to 34 years old),1658
1333,2014,Siskiyou,Total Births,328
1334,2014,Siskiyou,Older Mothers (35 years old or older),39
1335,2014,Siskiyou,Teen Mothers (15 years old to 19 years old),23
1336,2014,Siskiyou,Typical Aged Mothers (20 years old to 34 years old),266
1337,2014,Solano,Total Births,4736
1338,2014,Solano,Older Mothers (35 years old or older),772
1339,2014,Solano,Teen Mothers (15 years old to 19 years old),261
1340,2014,Solano,Typical Aged Mothers (20 years old to 34 years old),3699
1341,2014,Sonoma,Total Births,4797
1342,2014,Sonoma,Older Mothers (35 years old or older),995
1343,2014,Sonoma,Teen Mothers (15 years old to 19 years old),192
1344,2014,Sonoma,Typical Aged Mothers (20 years old to 34 years old),3608
1345,2014,Stanislaus,Total Births,7403
1346,2014,Stanislaus,Older Mothers (35 years old or older),976
1347,2014,Stanislaus,Teen Mothers (15 years old to 19 years old),565
1348,2014,Stanislaus,Typical Aged Mothers (20 years old to 34 years old),5860
1349,2014,Sutter,Total Births,1286
1350,2014,Sutter,Older Mothers (35 years old or older),145
1351,2014,Sutter,Teen Mothers (15 years old to 19 years old),78
1352,2014,Sutter,Typical Aged Mothers (20 years old to 34 years old),1063
1353,2014,Tehama,Total Births,718
1354,2014,Tehama,Older Mothers (35 years old or older),64
1355,2014,Tehama,Teen Mothers (15 years old to 19 years old),70
1356,2014,Tehama,Typical Aged Mothers (20 years old to 34 years old),584
1357,2014,Tulare,Total Births,7504
1358,2014,Tulare,Older Mothers (35 years old or older),900
1359,2014,Tulare,Teen Mothers (15 years old to 19 years old),730
1360,2014,Tulare,Typical Aged Mothers (20 years old to 34 years old),5864
1361,2014,Ventura,Total Births,10062
1362,2014,Ventura,Older Mothers (35 years old or older),1974
1363,2014,Ventura,Teen Mothers (15 years old to 19 years old),565
1364,2014,Ventura,Typical Aged Mothers (20 years old to 34 years old),7521
1365,2014,Yolo,Total Births,2287
1366,2014,Yolo,Older Mothers (35 years old or older),470
1367,2014,Yolo,Teen Mothers (15 years old to 19 years old),105
1368,2014,Yolo,Typical Aged Mothers (20 years old to 34 years old),1712
1369,2014,Yuba,Total Births,1152
1370,2014,Yuba,Older Mothers (35 years old or older),128
1371,2014,Yuba,Teen Mothers (15 years old to 19 years old),73
1372,2014,Yuba,Typical Aged Mothers (20 years old to 34 years old),951
1373,2015,Alameda,Total Births,18648
1374,2015,Alameda,Older Mothers (35 years old or older),4974
1375,2015,Alameda,Teen Mothers (15 years old to 19 years old),508
1376,2015,Alameda,Typical Aged Mothers (20 years old to 34 years old),13161
1377,2015,Butte,Total Births,2367
1378,2015,Butte,Older Mothers (35 years old or older),269
1379,2015,Butte,Teen Mothers (15 years old to 19 years old),150
1380,2015,Butte,Typical Aged Mothers (20 years old to 34 years old),1947
1381,2015,Calaveras,Total Births,352
1382,2015,Calaveras,Older Mothers (35 years old or older),45
1383,2015,Calaveras,Teen Mothers (15 years old to 19 years old),17
1384,2015,Calaveras,Typical Aged Mothers (20 years old to 34 years old),290
1385,2015,Colusa,Total Births,292
1386,2015,Colusa,Older Mothers (35 years old or older),36
1387,2015,Colusa,Teen Mothers (15 years old to 19 years old),27
1388,2015,Colusa,Typical Aged Mothers (20 years old to 34 years old),229
1389,2015,Contra Costa,Total Births,12139
1390,2015,Contra Costa,Older Mothers (35 years old or older),3100
1391,2015,Contra Costa,Teen Mothers (15 years old to 19 years old),384
1392,2015,Contra Costa,Typical Aged Mothers (20 years old to 34 years old),8651
1393,2015,Del Norte,Total Births,273
1394,2015,Del Norte,Older Mothers (35 years old or older),24
1395,2015,Del Norte,Teen Mothers (15 years old to 19 years old),37
1396,2015,Del Norte,Typical Aged Mothers (20 years old to 34 years old),211
1397,2015,El Dorado,Total Births,1483
1398,2015,El Dorado,Older Mothers (35 years old or older),296
1399,2015,El Dorado,Teen Mothers (15 years old to 19 years old),46
1400,2015,El Dorado,Typical Aged Mothers (20 years old to 34 years old),1140
1401,2015,Fresno,Total Births,15138
1402,2015,Fresno,Older Mothers (35 years old or older),2191
1403,2015,Fresno,Teen Mothers (15 years old to 19 years old),1165
1404,2015,Fresno,Typical Aged Mothers (20 years old to 34 years old),11772
1405,2015,Glenn,Total Births,364
1406,2015,Glenn,Older Mothers (35 years old or older),55
1407,2015,Glenn,Teen Mothers (15 years old to 19 years old),27
1408,2015,Glenn,Typical Aged Mothers (20 years old to 34 years old),282
1409,2015,Humboldt,Total Births,1367
1410,2015,Humboldt,Older Mothers (35 years old or older),237
1411,2015,Humboldt,Teen Mothers (15 years old to 19 years old),64
1412,2015,Humboldt,Typical Aged Mothers (20 years old to 34 years old),1066
1413,2015,Imperial,Total Births,2955
1414,2015,Imperial,Older Mothers (35 years old or older),353
1415,2015,Imperial,Teen Mothers (15 years old to 19 years old),250
1416,2015,Imperial,Typical Aged Mothers (20 years old to 34 years old),2349
1417,2015,Inyo,Total Births,201
1418,2015,Inyo,Older Mothers (35 years old or older),23
1419,2015,Inyo,Teen Mothers (15 years old to 19 years old),15
1420,2015,Inyo,Typical Aged Mothers (20 years old to 34 years old),163
1421,2015,Kern,Total Births,13451
1422,2015,Kern,Older Mothers (35 years old or older),1620
1423,2015,Kern,Teen Mothers (15 years old to 19 years old),1189
1424,2015,Kern,Typical Aged Mothers (20 years old to 34 years old),10627
1425,2015,Kings,Total Births,2208
1426,2015,Kings,Older Mothers (35 years old or older),267
1427,2015,Kings,Teen Mothers (15 years old to 19 years old),190
1428,2015,Kings,Typical Aged Mothers (20 years old to 34 years old),1751
1429,2015,Lake,Total Births,687
1430,2015,Lake,Older Mothers (35 years old or older),88
1431,2015,Lake,Teen Mothers (15 years old to 19 years old),51
1432,2015,Lake,Typical Aged Mothers (20 years old to 34 years old),548
1433,2015,Lassen,Total Births,244
1434,2015,Lassen,Older Mothers (35 years old or older),29
1435,2015,Lassen,Teen Mothers (15 years old to 19 years old),18
1436,2015,Lassen,Typical Aged Mothers (20 years old to 34 years old),196
1437,2015,Los Angeles,Total Births,121182
1438,2015,Los Angeles,Older Mothers (35 years old or older),28025
1439,2015,Los Angeles,Teen Mothers (15 years old to 19 years old),5947
1440,2015,Los Angeles,Typical Aged Mothers (20 years old to 34 years old),87156
1441,2015,Madera,Total Births,2180
1442,2015,Madera,Older Mothers (35 years old or older),315
1443,2015,Madera,Teen Mothers (15 years old to 19 years old),196
1444,2015,Madera,Typical Aged Mothers (20 years old to 34 years old),1667
1445,2015,Marin,Total Births,2190
1446,2015,Marin,Older Mothers (35 years old or older),820
1447,2015,Marin,Teen Mothers (15 years old to 19 years old),43
1448,2015,Marin,Typical Aged Mothers (20 years old to 34 years old),1327
1449,2015,Mendocino,Total Births,983
1450,2015,Mendocino,Older Mothers (35 years old or older),153
1451,2015,Mendocino,Teen Mothers (15 years old to 19 years old),60
1452,2015,Mendocino,Typical Aged Mothers (20 years old to 34 years old),770
1453,2015,Merced,Total Births,4015
1454,2015,Merced,Older Mothers (35 years old or older),564
1455,2015,Merced,Teen Mothers (15 years old to 19 years old),325
1456,2015,Merced,Typical Aged Mothers (20 years old to 34 years old),3122
1457,2015,Monterey,Total Births,6076
1458,2015,Monterey,Older Mothers (35 years old or older),989
1459,2015,Monterey,Teen Mothers (15 years old to 19 years old),440
1460,2015,Monterey,Typical Aged Mothers (20 years old to 34 years old),4642
1461,2015,Napa,Total Births,1412
1462,2015,Napa,Older Mothers (35 years old or older),321
1463,2015,Napa,Teen Mothers (15 years old to 19 years old),65
1464,2015,Napa,Typical Aged Mothers (20 years old to 34 years old),1025
1465,2015,Nevada,Total Births,734
1466,2015,Nevada,Older Mothers (35 years old or older),160
1467,2015,Nevada,Teen Mothers (15 years old to 19 years old),29
1468,2015,Nevada,Typical Aged Mothers (20 years old to 34 years old),545
1469,2015,Orange,Total Births,36589
1470,2015,Orange,Older Mothers (35 years old or older),9009
1471,2015,Orange,Teen Mothers (15 years old to 19 years old),1367
1472,2015,Orange,Typical Aged Mothers (20 years old to 34 years old),26196
1473,2015,Placer,Total Births,3481
1474,2015,Placer,Older Mothers (35 years old or older),778
1475,2015,Placer,Teen Mothers (15 years old to 19 years old),92
1476,2015,Placer,Typical Aged Mothers (20 years old to 34 years old),2610
1477,2015,Riverside,Total Births,29542
1478,2015,Riverside,Older Mothers (35 years old or older),4632
1479,2015,Riverside,Teen Mothers (15 years old to 19 years old),1879
1480,2015,Riverside,Typical Aged Mothers (20 years old to 34 years old),23013
1481,2015,Sacramento,Total Births,18830
1482,2015,Sacramento,Older Mothers (35 years old or older),3229
1483,2015,Sacramento,Teen Mothers (15 years old to 19 years old),881
1484,2015,Sacramento,Typical Aged Mothers (20 years old to 34 years old),14713
1485,2015,San Benito,Total Births,699
1486,2015,San Benito,Older Mothers (35 years old or older),126
1487,2015,San Benito,Teen Mothers (15 years old to 19 years old),43
1488,2015,San Benito,Typical Aged Mothers (20 years old to 34 years old),530
1489,2015,San Bernardino,Total Births,28821
1490,2015,San Bernardino,Older Mothers (35 years old or older),4273
1491,2015,San Bernardino,Teen Mothers (15 years old to 19 years old),1964
1492,2015,San Bernardino,Typical Aged Mothers (20 years old to 34 years old),22562
1493,2015,San Diego,Total Births,38129
1494,2015,San Diego,Older Mothers (35 years old or older),8278
1495,2015,San Diego,Teen Mothers (15 years old to 19 years old),1596
1496,2015,San Diego,Typical Aged Mothers (20 years old to 34 years old),28242
1497,2015,San Francisco,Total Births,8692
1498,2015,San Francisco,Older Mothers (35 years old or older),3320
1499,2015,San Francisco,Teen Mothers (15 years old to 19 years old),131
1500,2015,San Francisco,Typical Aged Mothers (20 years old to 34 years old),5241
1501,2015,San Joaquin,Total Births,9796
1502,2015,San Joaquin,Older Mothers (35 years old or older),1511
1503,2015,San Joaquin,Teen Mothers (15 years old to 19 years old),603
1504,2015,San Joaquin,Typical Aged Mothers (20 years old to 34 years old),7677
1505,2015,San Luis Obispo,Total Births,2530
1506,2015,San Luis Obispo,Older Mothers (35 years old or older),465
1507,2015,San Luis Obispo,Teen Mothers (15 years old to 19 years old),123
1508,2015,San Luis Obispo,Typical Aged Mothers (20 years old to 34 years old),1941
1509,2015,San Mateo,Total Births,8241
1510,2015,San Mateo,Older Mothers (35 years old or older),2718
1511,2015,San Mateo,Teen Mothers (15 years old to 19 years old),162
1512,2015,San Mateo,Typical Aged Mothers (20 years old to 34 years old),5356
1513,2015,Santa Barbara,Total Births,5483
1514,2015,Santa Barbara,Older Mothers (35 years old or older),1000
1515,2015,Santa Barbara,Teen Mothers (15 years old to 19 years old),372
1516,2015,Santa Barbara,Typical Aged Mothers (20 years old to 34 years old),4106
1517,2015,Santa Clara,Total Births,23210
1518,2015,Santa Clara,Older Mothers (35 years old or older),6143
1519,2015,Santa Clara,Teen Mothers (15 years old to 19 years old),662
1520,2015,Santa Clara,Typical Aged Mothers (20 years old to 34 years old),16400
1521,2015,Santa Cruz,Total Births,2881
1522,2015,Santa Cruz,Older Mothers (35 years old or older),694
1523,2015,Santa Cruz,Teen Mothers (15 years old to 19 years old),152
1524,2015,Santa Cruz,Typical Aged Mothers (20 years old to 34 years old),2035
1525,2015,Shasta,Total Births,2011
1526,2015,Shasta,Older Mothers (35 years old or older),253
1527,2015,Shasta,Teen Mothers (15 years old to 19 years old),135
1528,2015,Shasta,Typical Aged Mothers (20 years old to 34 years old),1622
1529,2015,Siskiyou,Total Births,360
1530,2015,Siskiyou,Older Mothers (35 years old or older),46
1531,2015,Siskiyou,Teen Mothers (15 years old to 19 years old),22
1532,2015,Siskiyou,Typical Aged Mothers (20 years old to 34 years old),292
1533,2015,Solano,Total Births,4573
1534,2015,Solano,Older Mothers (35 years old or older),811
1535,2015,Solano,Teen Mothers (15 years old to 19 years old),198
1536,2015,Solano,Typical Aged Mothers (20 years old to 34 years old),3563
1537,2015,Sonoma,Total Births,4710
1538,2015,Sonoma,Older Mothers (35 years old or older),1093
1539,2015,Sonoma,Teen Mothers (15 years old to 19 years old),156
1540,2015,Sonoma,Typical Aged Mothers (20 years old to 34 years old),3460
1541,2015,Stanislaus,Total Births,7568
1542,2015,Stanislaus,Older Mothers (35 years old or older),1059
1543,2015,Stanislaus,Teen Mothers (15 years old to 19 years old),508
1544,2015,Stanislaus,Typical Aged Mothers (20 years old to 34 years old),5996
1545,2015,Sutter,Total Births,1245
1546,2015,Sutter,Older Mothers (35 years old or older),175
1547,2015,Sutter,Teen Mothers (15 years old to 19 years old),73
1548,2015,Sutter,Typical Aged Mothers (20 years old to 34 years old),997
1549,2015,Tehama,Total Births,755
1550,2015,Tehama,Older Mothers (35 years old or older),86
1551,2015,Tehama,Teen Mothers (15 years old to 19 years old),64
1552,2015,Tehama,Typical Aged Mothers (20 years old to 34 years old),602
1553,2015,Tulare,Total Births,7253
1554,2015,Tulare,Older Mothers (35 years old or older),918
1555,2015,Tulare,Teen Mothers (15 years old to 19 years old),624
1556,2015,Tulare,Typical Aged Mothers (20 years old to 34 years old),5707
1557,2015,Ventura,Total Births,9744
1558,2015,Ventura,Older Mothers (35 years old or older),2037
1559,2015,Ventura,Teen Mothers (15 years old to 19 years old),480
1560,2015,Ventura,Typical Aged Mothers (20 years old to 34 years old),7224
1561,2015,Yolo,Total Births,2309
1562,2015,Yolo,Older Mothers (35 years old or older),465
1563,2015,Yolo,Teen Mothers (15 years old to 19 years old),99
1564,2015,Yolo,Typical Aged Mothers (20 years old to 34 years old),1745
1565,2015,Yuba,Total Births,1099
1566,2015,Yuba,Older Mothers (35 years old or older),129
1567,2015,Yuba,Teen Mothers (15 years old to 19 years old),77
1568,2015,Yuba,Typical Aged Mothers (20 years old to 34 years old),893
1569,2016,Alameda,Total Births,18728
1570,2016,Alameda,Older Mothers (35 years old or older),5183
1571,2016,Alameda,Teen Mothers (15 years old to 19 years old),395
1572,2016,Alameda,Typical Aged Mothers (20 years old to 34 years old),13147
1573,2016,Butte,Total Births,2422
1574,2016,Butte,Older Mothers (35 years old or older),357
1575,2016,Butte,Teen Mothers (15 years old to 19 years old),115
1576,2016,Butte,Typical Aged Mothers (20 years old to 34 years old),1948
1577,2016,Calaveras,Total Births,353
1578,2016,Calaveras,Older Mothers (35 years old or older),49
1579,2016,Calaveras,Teen Mothers (15 years old to 19 years old),15
1580,2016,Calaveras,Typical Aged Mothers (20 years old to 34 years old),289
1581,2016,Colusa,Total Births,318
1582,2016,Colusa,Older Mothers (35 years old or older),48
1583,2016,Colusa,Teen Mothers (15 years old to 19 years old),17
1584,2016,Colusa,Typical Aged Mothers (20 years old to 34 years old),253
1585,2016,Contra Costa,Total Births,11930
1586,2016,Contra Costa,Older Mothers (35 years old or older),3092
1587,2016,Contra Costa,Teen Mothers (15 years old to 19 years old),337
1588,2016,Contra Costa,Typical Aged Mothers (20 years old to 34 years old),8494
1589,2016,Del Norte,Total Births,274
1590,2016,Del Norte,Older Mothers (35 years old or older),25
1591,2016,Del Norte,Teen Mothers (15 years old to 19 years old),25
1592,2016,Del Norte,Typical Aged Mothers (20 years old to 34 years old),222
1593,2016,El Dorado,Total Births,1508
1594,2016,El Dorado,Older Mothers (35 years old or older),320
1595,2016,El Dorado,Teen Mothers (15 years old to 19 years old),46
1596,2016,El Dorado,Typical Aged Mothers (20 years old to 34 years old),1141
1597,2016,Fresno,Total Births,14872
1598,2016,Fresno,Older Mothers (35 years old or older),2109
1599,2016,Fresno,Teen Mothers (15 years old to 19 years old),1089
1600,2016,Fresno,Typical Aged Mothers (20 years old to 34 years old),11664
1601,2016,Glenn,Total Births,376
1602,2016,Glenn,Older Mothers (35 years old or older),55
1603,2016,Glenn,Teen Mothers (15 years old to 19 years old),23
1604,2016,Glenn,Typical Aged Mothers (20 years old to 34 years old),298
1605,2016,Humboldt,Total Births,1374
1606,2016,Humboldt,Older Mothers (35 years old or older),251
1607,2016,Humboldt,Teen Mothers (15 years old to 19 years old),61
1608,2016,Humboldt,Typical Aged Mothers (20 years old to 34 years old),1062
1609,2016,Imperial,Total Births,2817
1610,2016,Imperial,Older Mothers (35 years old or older),384
1611,2016,Imperial,Teen Mothers (15 years old to 19 years old),194
1612,2016,Imperial,Typical Aged Mothers (20 years old to 34 years old),2239
1613,2016,Inyo,Total Births,180
1614,2016,Inyo,Older Mothers (35 years old or older),31
1615,2016,Inyo,Teen Mothers (15 years old to 19 years old),17
1616,2016,Inyo,Typical Aged Mothers (20 years old to 34 years old),132
1617,2016,Kern,Total Births,13365
1618,2016,Kern,Older Mothers (35 years old or older),1699
1619,2016,Kern,Teen Mothers (15 years old to 19 years old),1097
1620,2016,Kern,Typical Aged Mothers (20 years old to 34 years old),10560
1621,2016,Kings,Total Births,1865
1622,2016,Kings,Older Mothers (35 years old or older),201
1623,2016,Kings,Teen Mothers (15 years old to 19 years old),138
1624,2016,Kings,Typical Aged Mothers (20 years old to 34 years old),1526
1625,2016,Lake,Total Births,701
1626,2016,Lake,Older Mothers (35 years old or older),84
1627,2016,Lake,Teen Mothers (15 years old to 19 years old),46
1628,2016,Lake,Typical Aged Mothers (20 years old to 34 years old),569
1629,2016,Lassen,Total Births,253
1630,2016,Lassen,Older Mothers (35 years old or older),31
1631,2016,Lassen,Teen Mothers (15 years old to 19 years old),15
1632,2016,Lassen,Typical Aged Mothers (20 years old to 34 years old),207
1633,2016,Los Angeles,Total Births,119585
1634,2016,Los Angeles,Older Mothers (35 years old or older),28416
1635,2016,Los Angeles,Teen Mothers (15 years old to 19 years old),5221
1636,2016,Los Angeles,Typical Aged Mothers (20 years old to 34 years old),85892
1637,2016,Madera,Total Births,2278
1638,2016,Madera,Older Mothers (35 years old or older),322
1639,2016,Madera,Teen Mothers (15 years old to 19 years old),175
1640,2016,Madera,Typical Aged Mothers (20 years old to 34 years old),1779
1641,2016,Marin,Total Births,2157
1642,2016,Marin,Older Mothers (35 years old or older),900
1643,2016,Marin,Teen Mothers (15 years old to 19 years old),61
1644,2016,Marin,Typical Aged Mothers (20 years old to 34 years old),1196
1645,2016,Mendocino,Total Births,942
1646,2016,Mendocino,Older Mothers (35 years old or older),163
